season,league,date,time,round,home,away,ht_score,ft_score
2010-11,English League Two,2010-08-07,15:00,Matchday 1,Stevenage FC,Macclesfield Town,1-1,2-2
2010-11,English League Two,2010-08-14,15:00,Matchday 2,Cheltenham Town,Crewe Alexandra,2-1,3-2
2010-11,English League Two,2010-08-21,15:00,Matchday 3,Rotherham United,Cheltenham Town,2-3,6-4
2010-11,English League Two,2010-08-21,15:00,Matchday 3,Burton Albion,Morecambe FC,1-1,3-2
2010-11,English League Two,2010-09-18,15:00,Matchday 7,Southend United,Morecambe FC,1-2,2-3
2010-11,English League Two,2010-10-02,15:00,Matchday 10,Chesterfield FC,Crewe Alexandra,1-4,5-5
2010-11,English League Two,2010-10-02,15:00,Matchday 10,Accrington Stanley,Gillingham FC,3-2,7-4
2010-11,English League Two,2010-10-09,15:00,Matchday 11,Crewe Alexandra,Torquay United,1-2,3-3
2010-11,English League Two,2010-10-16,15:00,Matchday 12,Torquay United,Bury FC,2-2,3-4
2010-11,English League Two,2010-10-16,15:00,Matchday 12,Accrington Stanley,Rotherham United,1-1,2-3
2010-11,English League Two,2010-10-23,15:00,Matchday 13,Rotherham United,Wycombe Wanderers,2-3,3-4
2010-11,English League Two,2010-11-02,19:45,Matchday 15,Chesterfield FC,Accrington Stanley,3-1,5-2
2010-11,English League Two,2010-12-11,15:00,Matchday 20,Stockport County,Crewe Alexandra,1-1,3-3
2010-11,English League Two,2011-01-03,15:00,Matchday 25,Torquay United,Oxford United,1-2,3-4
2010-11,English League Two,2011-01-11,19:45,Matchday 22,Stockport County,Rotherham United,1-1,3-3
2010-11,English League Two,2011-01-22,15:00,Matchday 28,Stockport County,Lincoln City,1-2,3-4
2010-11,English League Two,2011-01-29,15:00,Matchday 29,Chesterfield FC,Bradford City,1-1,2-2
2010-11,English League Two,2011-02-01,19:45,Matchday 30,Stevenage FC,Gillingham FC,1-1,2-2
2010-11,English League Two,2011-02-01,19:45,Matchday 30,Northampton Town,Crewe Alexandra,3-1,6-2
2010-11,English League Two,2011-02-08,19:45,Matchday 21,Hereford United,Macclesfield Town,1-1,2-2
2010-11,English League Two,2011-02-15,19:45,Matchday 21,Northampton Town,Morecambe FC,1-1,3-3
