season,league,date,time,round,home,away,ht_score,ft_score
2010-11,Österr. Bundesliga,2010-08-07,18:30,Matchday 4,RB Salzburg,SC Magna Wiener Neustadt,2-1,4-2
2010-11,Österr. Bundesliga,2010-08-29,18:30,Matchday 6,Sturm Graz,SC Magna Wiener Neustadt,1-1,4-2
2010-11,Österr. Bundesliga,2010-09-25,16:00,Matchday 9,Rapid Wien,KSV Superfund,1-1,3-2
2010-11,Österr. Bundesliga,2010-09-25,18:30,Matchday 9,SV Mattersburg,LASK Linz,1-1,3-3
2010-11,Österr. Bundesliga,2010-10-02,18:30,Matchday 10,Austria Wien,Sturm Graz,1-1,2-3
2010-11,Österr. Bundesliga,2010-12-11,18:30,Matchday 19,Rapid Wien,FC Wacker Innsbruck,1-1,3-3
2010-11,Österr. Bundesliga,2010-12-11,18:30,Matchday 19,KSV Superfund,LASK Linz,1-1,2-2
2010-11,Österr. Bundesliga,2011-03-02,20:30,Matchday 23,LASK Linz,SC Magna Wiener Neustadt,1-2,2-3
2010-11,Österr. Bundesliga,2011-04-02,18:30,Matchday 27,Sturm Graz,Rapid Wien,1-2,3-3
2010-11,Österr. Bundesliga,2011-04-02,18:30,Matchday 27,SC Magna Wiener Neustadt,FC Wacker Innsbruck,1-1,2-2
2010-11,Österr. Bundesliga,2011-04-10,16:00,Matchday 28,KSV Superfund,Austria Wien,2-1,3-3
2010-11,Österr. Bundesliga,2011-04-30,18:30,Matchday 31,SC Magna Wiener Neustadt,Austria Wien,1-1,4-2
2010-11,Österr. Bundesliga,2011-05-25,20:30,Matchday 36,Austria Wien,RB Salzburg,1-1,2-4
2011-12,Österr. Bundesliga,2011-07-23,18:30,Matchday 2,Sturm Graz,SV Mattersburg,1-1,2-2
2011-12,Österr. Bundesliga,2011-08-28,18:30,Matchday 6,Austria Wien,FC Trenkwalder Admira,1-1,2-4
2011-12,Österr. Bundesliga,2011-09-24,18:30,Matchday 9,1. Wiener Neustädter SC,SV Ried,1-1,2-2
2011-12,Österr. Bundesliga,2011-10-02,16:00,Matchday 10,Austria Wien,RB Salzburg,1-1,3-2
2011-12,Österr. Bundesliga,2011-10-16,16:00,Matchday 11,SV Mattersburg,Sturm Graz,1-1,3-3
2011-12,Österr. Bundesliga,2011-10-30,16:00,Matchday 13,Kapfenberger SV 1919,Austria Wien,1-1,2-2
