season,league,date,time,round,home,away,ht_score,ft_score
2019-20,Turkish 1. Lig,2019-08-25,21:45,Matchday 2,Adanaspor,Eskişehirspor,1-1,3-2
2019-20,Turkish 1. Lig,2019-09-28,19:00,Matchday 6,Adanaspor,Altay Izmir,2-2,3-3
2019-20,Turkish 1. Lig,2019-10-05,19:00,Matchday 7,Balıkesirspor,Boluspor,1-1,3-2
2019-20,Turkish 1. Lig,2019-11-03,16:30,Matchday 10,Eskişehirspor,Osmanlıspor FK,1-1,3-2
2019-20,Turkish 1. Lig,2019-11-08,19:00,Matchday 11,Adana Demirspor,Eskişehirspor,1-1,2-3
2019-20,Turkish 1. Lig,2019-11-30,19:00,Matchday 13,Adanaspor,Bursaspor,1-2,2-3
2019-20,Turkish 1. Lig,2020-03-15,16:30,Matchday 28,Menemen Belediyespor,İstanbulspor AŞ,1-1,2-2
2019-20,Turkish 1. Lig,2020-07-04,20:00,Matchday 32,Menemen Belediyespor,Adanaspor,2-1,4-2
2019-20,Turkish 1. Lig,2020-07-05,20:00,Matchday 32,Osmanlıspor FK,Ümraniyespor,1-1,3-2
2019-20,Turkish 1. Lig,2020-07-19,17:30,Matchday 34,Osmanlıspor FK,Balıkesirspor,1-2,4-3
2019-20,Turkish 1. Lig,2020-07-22,21:00,"Playoffs, Semifinals",Fatih Karagümrük,Akhisar Belediyespor,1-1,3-3
