season,league,date,time,round,home,away,ht_score,ft_score
2025,Colombia Primera A,2025-01-25,17:00,"Apertura, Matchday 1",América de Cali,Llaneros FC,1-2,4-3
2025,Colombia Primera A,2025-02-13,16:30,"Apertura, Matchday 4",La Equidad,Envigado FC,1-2,2-3
2025,Colombia Primera A,2025-02-23,16:00,"Apertura, Matchday 6",Alianza FC,Atlético Nacional,2-1,3-2
2025,Colombia Primera A,2025-03-03,17:00,"Apertura, Matchday 7",Unión Magdalena,Deportivo Cali,1-1,2-2
2025,Colombia Primera A,2025-03-22,20:30,"Apertura, Matchday 10",Santa Fe,Millonarios,2-1,3-2
2025,Colombia Primera A,2025-05-04,20:30,"Apertura, Matchday 17",Águilas Doradas,Deportivo Pereira,2-2,3-3
