season,league,date,time,round,home,away,ht_score,ft_score
2010-11,Deutsche Bundesliga,2010-08-28,15:30,Matchday 2,Werder Bremen,1. FC Köln,2-1,4-2
2010-11,Deutsche Bundesliga,2010-08-29,15:30,Matchday 2,Bayer Leverkusen,Bor. Mönchengladbach,1-3,3-6
2010-11,Deutsche Bundesliga,2010-10-02,15:30,Matchday 7,1. FSV Mainz 05,1899 Hoffenheim,1-1,4-2
2010-11,Deutsche Bundesliga,2010-10-02,15:30,Matchday 7,SC Freiburg,1. FC Köln,2-1,3-2
2010-11,Deutsche Bundesliga,2010-10-16,15:30,Matchday 8,FC Schalke 04,VfB Stuttgart,1-1,2-2
2010-11,Deutsche Bundesliga,2010-10-30,15:30,Matchday 10,Werder Bremen,1. FC Nürnberg,1-1,2-3
2010-11,Deutsche Bundesliga,2010-11-06,15:30,Matchday 11,Bor. Mönchengladbach,Bayern München,1-2,3-3
2010-11,Deutsche Bundesliga,2010-11-20,15:30,Matchday 13,Hannover 96,Hamburger SV,1-1,3-2
2010-11,Deutsche Bundesliga,2010-11-27,15:30,Matchday 14,Hamburger SV,VfB Stuttgart,3-1,4-2
2010-11,Deutsche Bundesliga,2010-12-05,15:30,Matchday 15,Bayer Leverkusen,1. FC Köln,1-1,3-2
2010-11,Deutsche Bundesliga,2010-12-18,18:30,Matchday 17,FC St. Pauli,1. FSV Mainz 05,1-3,2-4
2010-11,Deutsche Bundesliga,2010-12-19,15:30,Matchday 17,Bayer Leverkusen,SC Freiburg,1-1,2-2
2010-11,Deutsche Bundesliga,2011-02-13,15:30,Matchday 22,1. FC Köln,1. FSV Mainz 05,2-1,4-2
2010-11,Deutsche Bundesliga,2011-02-20,15:30,Matchday 23,Bayer Leverkusen,VfB Stuttgart,2-1,4-2
2011-12,Deutsche Bundesliga,2011-08-13,15:30,Matchday 2,Hamburger SV,Hertha BSC,1-1,2-2
2011-12,Deutsche Bundesliga,2011-08-20,15:30,Matchday 3,Werder Bremen,SC Freiburg,2-1,5-3
2011-12,Deutsche Bundesliga,2011-08-27,15:30,Matchday 4,Hamburger SV,1. FC Köln,1-1,3-4
2011-12,Deutsche Bundesliga,2011-09-24,15:30,Matchday 7,FC Schalke 04,SC Freiburg,1-1,4-2
2011-12,Deutsche Bundesliga,2011-10-01,15:30,Matchday 8,1. FC Nürnberg,1. FSV Mainz 05,2-2,3-3
2011-12,Deutsche Bundesliga,2011-10-02,15:30,Matchday 8,Hannover 96,Werder Bremen,2-1,3-2
2011-12,Deutsche Bundesliga,2011-10-29,15:30,Matchday 11,VfL Wolfsburg,Hertha BSC,1-2,2-3
2011-12,Deutsche Bundesliga,2011-11-06,15:30,Matchday 12,Hannover 96,FC Schalke 04,1-1,2-2
2011-12,Deutsche Bundesliga,2011-11-26,15:30,Matchday 14,Hertha BSC,Bayer Leverkusen,2-1,3-3
2011-12,Deutsche Bundesliga,2012-01-28,15:30,Matchday 19,FC Augsburg,1. FC Kaiserslautern,1-1,2-2
2011-12,Deutsche Bundesliga,2012-02-04,15:30,Matchday 20,Bayer Leverkusen,VfB Stuttgart,1-1,2-2
2011-12,Deutsche Bundesliga,2012-02-04,15:30,Matchday 20,1899 Hoffenheim,FC Augsburg,1-1,2-2
2011-12,Deutsche Bundesliga,2012-02-05,15:30,Matchday 20,SC Freiburg,Werder Bremen,1-1,2-2
2011-12,Deutsche Bundesliga,2012-03-03,15:30,Matchday 24,Hannover 96,FC Augsburg,1-1,2-2
2011-12,Deutsche Bundesliga,2012-03-10,15:30,Matchday 25,VfL Wolfsburg,Bayer Leverkusen,2-1,3-2
2011-12,Deutsche Bundesliga,2012-04-28,15:30,Matchday 33,1. FC Kaiserslautern,Borussia Dortmund,1-3,2-5
2011-12,Deutsche Bundesliga,2012-04-28,15:30,Matchday 33,1899 Hoffenheim,1. FC Nürnberg,1-2,2-3
2011-12,Deutsche Bundesliga,2012-05-05,15:30,Matchday 34,Werder Bremen,FC Schalke 04,1-1,2-3
2012-13,Deutsche Bundesliga,2012-09-15,15:30,Matchday 3,Bor. Mönchengladbach,1. FC Nürnberg,1-2,2-3
2012-13,Deutsche Bundesliga,2012-09-15,15:30,Matchday 3,Hannover 96,Werder Bremen,2-1,3-2
2012-13,Deutsche Bundesliga,2012-09-16,15:30,Matchday 3,SC Freiburg,1899 Hoffenheim,2-1,5-3
2012-13,Deutsche Bundesliga,2012-09-16,17:30,Matchday 3,Eintracht Frankfurt,Hamburger SV,2-1,3-2
2012-13,Deutsche Bundesliga,2012-10-07,17:30,Matchday 7,VfB Stuttgart,Bayer Leverkusen,1-1,2-2
2012-13,Deutsche Bundesliga,2012-10-19,20:30,Matchday 8,1899 Hoffenheim,SpVgg Greuther Fürth,1-1,3-3
2012-13,Deutsche Bundesliga,2012-11-03,15:30,Matchday 10,1899 Hoffenheim,FC Schalke 04,1-1,3-2
2012-13,Deutsche Bundesliga,2012-11-04,15:30,Matchday 10,Bayer Leverkusen,Fortuna Düsseldorf,2-1,3-2
2012-13,Deutsche Bundesliga,2012-11-17,15:30,Matchday 12,Eintracht Frankfurt,FC Augsburg,2-1,4-2
2012-13,Deutsche Bundesliga,2012-11-28,20:45,Matchday 14,1. FC Nürnberg,1899 Hoffenheim,2-1,4-2
2012-13,Deutsche Bundesliga,2012-12-08,15:30,Matchday 16,Borussia Dortmund,VfL Wolfsburg,1-2,2-3
2012-13,Deutsche Bundesliga,2012-12-09,17:30,Matchday 16,Hannover 96,Bayer Leverkusen,1-1,3-2
2012-13,Deutsche Bundesliga,2013-01-27,15:30,Matchday 19,Hamburger SV,Werder Bremen,1-1,3-2
2012-13,Deutsche Bundesliga,2013-02-16,15:30,Matchday 22,1. FSV Mainz 05,FC Schalke 04,1-1,2-2
2012-13,Deutsche Bundesliga,2013-02-16,15:30,Matchday 22,Werder Bremen,SC Freiburg,1-1,2-3
2012-13,Deutsche Bundesliga,2013-03-09,15:30,Matchday 25,SC Freiburg,VfL Wolfsburg,1-3,2-5
2012-13,Deutsche Bundesliga,2013-03-09,15:30,Matchday 25,Bayern München,Fortuna Düsseldorf,1-1,3-2
2012-13,Deutsche Bundesliga,2013-03-31,17:30,Matchday 27,SpVgg Greuther Fürth,Eintracht Frankfurt,1-1,2-3
