season,league,date,time,round,home,away,ht_score,ft_score
2012-13,Deutsche Bundesliga,2013-04-13,15:30,Matchday 29,Fortuna Düsseldorf,Werder Bremen,1-1,2-2
2012-13,Deutsche Bundesliga,2013-04-13,15:30,Matchday 29,VfL Wolfsburg,1899 Hoffenheim,1-1,2-2
2012-13,Deutsche Bundesliga,2013-04-26,20:30,Matchday 31,SpVgg Greuther Fürth,Hannover 96,1-1,2-3
2012-13,Deutsche Bundesliga,2013-05-04,15:30,Matchday 32,Hannover 96,1. FSV Mainz 05,1-1,2-2
2012-13,Deutsche Bundesliga,2013-05-11,15:30,Matchday 33,1. FSV Mainz 05,Bor. Mönchengladbach,1-1,2-4
2013-14,Deutsche Bundesliga,2013-08-11,15:30,Matchday 1,1. FSV Mainz 05,VfB Stuttgart,1-1,3-2
2013-14,Deutsche Bundesliga,2013-08-11,17:30,Matchday 1,FC Schalke 04,Hamburger SV,2-2,3-3
2013-14,Deutsche Bundesliga,2013-08-24,15:30,Matchday 3,1899 Hoffenheim,SC Freiburg,2-2,3-3
2013-14,Deutsche Bundesliga,2013-09-01,15:30,Matchday 4,VfB Stuttgart,1899 Hoffenheim,3-1,6-2
2013-14,Deutsche Bundesliga,2013-09-14,18:30,Matchday 5,Borussia Dortmund,Hamburger SV,2-1,6-2
2013-14,Deutsche Bundesliga,2013-09-27,20:30,Matchday 7,FC Augsburg,Bor. Mönchengladbach,1-1,2-2
2013-14,Deutsche Bundesliga,2013-09-28,18:30,Matchday 7,Eintracht Frankfurt,Hamburger SV,1-1,2-2
2013-14,Deutsche Bundesliga,2013-09-29,15:30,Matchday 7,Werder Bremen,1. FC Nürnberg,2-1,3-3
2013-14,Deutsche Bundesliga,2013-10-19,15:30,Matchday 9,Eintracht Braunschweig,FC Schalke 04,1-1,2-3
2013-14,Deutsche Bundesliga,2013-10-20,15:30,Matchday 9,Hamburger SV,VfB Stuttgart,1-2,3-3
2013-14,Deutsche Bundesliga,2013-10-26,15:30,Matchday 10,Bayern München,Hertha BSC,1-1,3-2
2013-14,Deutsche Bundesliga,2013-11-09,15:30,Matchday 12,Bayer Leverkusen,Hamburger SV,2-1,5-3
2013-14,Deutsche Bundesliga,2013-11-30,15:30,Matchday 14,1899 Hoffenheim,Werder Bremen,2-2,4-4
2013-14,Deutsche Bundesliga,2014-02-22,15:30,Matchday 22,SC Freiburg,FC Augsburg,1-1,2-4
2013-14,Deutsche Bundesliga,2014-03-02,15:30,Matchday 23,1899 Hoffenheim,VfL Wolfsburg,4-1,6-2
2013-14,Deutsche Bundesliga,2014-03-23,17:30,Matchday 26,Bayer Leverkusen,1899 Hoffenheim,1-2,2-3
2013-14,Deutsche Bundesliga,2014-04-19,15:30,Matchday 31,Borussia Dortmund,1. FSV Mainz 05,2-1,4-2
2013-14,Deutsche Bundesliga,2014-05-10,15:30,Matchday 34,1. FSV Mainz 05,Hamburger SV,1-1,3-2
2014-15,Deutsche Bundesliga,2014-08-24,15:30,Matchday 1,SC Paderborn 07,1. FSV Mainz 05,1-1,2-2
2014-15,Deutsche Bundesliga,2014-08-30,15:30,Matchday 2,VfL Wolfsburg,Eintracht Frankfurt,1-1,2-2
2014-15,Deutsche Bundesliga,2014-09-12,20:30,Matchday 3,Bayer Leverkusen,Werder Bremen,1-1,3-3
2014-15,Deutsche Bundesliga,2014-09-19,20:30,Matchday 4,SC Freiburg,Hertha BSC,1-1,2-2
2014-15,Deutsche Bundesliga,2014-09-20,15:30,Matchday 4,FC Augsburg,Werder Bremen,2-1,4-2
2014-15,Deutsche Bundesliga,2014-09-23,20:00,Matchday 5,1899 Hoffenheim,SC Freiburg,1-2,3-3
2014-15,Deutsche Bundesliga,2014-10-03,20:30,Matchday 7,Hertha BSC,VfB Stuttgart,1-1,3-2
2014-15,Deutsche Bundesliga,2014-10-04,15:30,Matchday 7,Bayer Leverkusen,SC Paderborn 07,1-1,2-2
2014-15,Deutsche Bundesliga,2014-10-04,18:30,Matchday 7,Eintracht Frankfurt,1. FC Köln,1-1,3-2
2014-15,Deutsche Bundesliga,2014-10-25,15:30,Matchday 9,Eintracht Frankfurt,VfB Stuttgart,1-2,4-5
2014-15,Deutsche Bundesliga,2014-11-22,15:30,Matchday 12,1. FSV Mainz 05,SC Freiburg,1-1,2-2
2014-15,Deutsche Bundesliga,2014-11-29,18:30,Matchday 13,1899 Hoffenheim,Hannover 96,2-1,4-3
2014-15,Deutsche Bundesliga,2014-12-06,15:30,Matchday 14,Bor. Mönchengladbach,Hertha BSC,1-1,3-2
2014-15,Deutsche Bundesliga,2014-12-07,17:30,Matchday 14,Eintracht Frankfurt,Werder Bremen,1-1,5-2
2014-15,Deutsche Bundesliga,2014-12-13,15:30,Matchday 15,Werder Bremen,Hannover 96,1-1,3-3
2014-15,Deutsche Bundesliga,2014-12-17,20:00,Matchday 16,Borussia Dortmund,VfL Wolfsburg,1-1,2-2
2014-15,Deutsche Bundesliga,2014-12-17,20:00,Matchday 16,Eintracht Frankfurt,Hertha BSC,1-3,4-4
2014-15,Deutsche Bundesliga,2015-02-20,20:30,Matchday 22,VfB Stuttgart,Borussia Dortmund,1-2,2-3
2014-15,Deutsche Bundesliga,2015-03-14,15:30,Matchday 25,Hertha BSC,FC Schalke 04,1-1,2-2
2014-15,Deutsche Bundesliga,2015-03-21,15:30,Matchday 26,Hannover 96,Borussia Dortmund,1-1,2-3
2014-15,Deutsche Bundesliga,2015-04-25,15:30,Matchday 30,Hamburger SV,FC Augsburg,2-1,3-2
2014-15,Deutsche Bundesliga,2015-05-02,15:30,Matchday 31,FC Schalke 04,VfB Stuttgart,1-1,3-2
2015-16,Deutsche Bundesliga,2015-09-12,15:30,Matchday 4,Hannover 96,Borussia Dortmund,1-2,2-4
2015-16,Deutsche Bundesliga,2015-09-12,18:30,Matchday 4,Eintracht Frankfurt,1. FC Köln,4-1,6-2
2015-16,Deutsche Bundesliga,2015-10-02,20:30,Matchday 8,SV Darmstadt 98,1. FSV Mainz 05,1-2,2-3
2015-16,Deutsche Bundesliga,2015-10-17,15:30,Matchday 9,VfL Wolfsburg,1899 Hoffenheim,2-1,4-2
2015-16,Deutsche Bundesliga,2015-10-31,15:30,Matchday 11,FC Augsburg,1. FSV Mainz 05,1-2,3-3
2015-16,Deutsche Bundesliga,2015-11-08,15:30,Matchday 12,Borussia Dortmund,FC Schalke 04,2-1,3-2
2015-16,Deutsche Bundesliga,2015-11-28,15:30,Matchday 14,1899 Hoffenheim,Bor. Mönchengladbach,2-1,3-3
2015-16,Deutsche Bundesliga,2015-12-20,17:30,Matchday 17,Bor. Mönchengladbach,SV Darmstadt 98,1-1,3-2
2015-16,Deutsche Bundesliga,2016-02-14,15:30,Matchday 21,Hamburger SV,Bor. Mönchengladbach,2-1,3-2
2015-16,Deutsche Bundesliga,2016-02-20,15:30,Matchday 22,1899 Hoffenheim,1. FSV Mainz 05,1-1,3-2
2015-16,Deutsche Bundesliga,2016-02-27,15:30,Matchday 23,Werder Bremen,SV Darmstadt 98,1-1,2-2
2015-16,Deutsche Bundesliga,2016-03-02,20:00,Matchday 24,FC Schalke 04,Hamburger SV,1-1,3-2
2015-16,Deutsche Bundesliga,2016-03-12,15:30,Matchday 26,FC Ingolstadt 04,VfB Stuttgart,1-1,3-3
2015-16,Deutsche Bundesliga,2016-04-08,20:30,Matchday 29,Hertha BSC,Hannover 96,1-1,2-2
2015-16,Deutsche Bundesliga,2016-04-16,15:30,Matchday 30,Werder Bremen,VfL Wolfsburg,1-1,3-2
2015-16,Deutsche Bundesliga,2016-05-02,20:15,Matchday 32,Werder Bremen,VfB Stuttgart,3-1,6-2
2015-16,Deutsche Bundesliga,2016-05-14,15:30,Matchday 34,Bayer Leverkusen,FC Ingolstadt 04,2-1,3-2
2016-17,Deutsche Bundesliga,2016-09-24,15:30,Matchday 5,Eintracht Frankfurt,Hertha BSC,2-1,3-3
2016-17,Deutsche Bundesliga,2016-10-15,15:30,Matchday 7,Eintracht Frankfurt,Bayern München,1-1,2-2
2016-17,Deutsche Bundesliga,2016-11-20,15:30,Matchday 11,1899 Hoffenheim,Hamburger SV,1-1,2-2
2016-17,Deutsche Bundesliga,2017-02-05,15:30,Matchday 19,FC Augsburg,Werder Bremen,1-1,3-2
2016-17,Deutsche Bundesliga,2017-02-18,18:30,Matchday 21,Hamburger SV,SC Freiburg,1-1,2-2
2016-17,Deutsche Bundesliga,2017-03-03,20:30,Matchday 23,FC Augsburg,RB Leipzig,1-1,2-2
2016-17,Deutsche Bundesliga,2017-03-04,15:30,Matchday 23,1899 Hoffenheim,FC Ingolstadt 04,1-1,5-2
2016-17,Deutsche Bundesliga,2017-03-04,18:30,Matchday 23,Bor. Mönchengladbach,FC Schalke 04,1-1,4-2
2016-17,Deutsche Bundesliga,2017-03-11,18:30,Matchday 24,FC Ingolstadt 04,1. FC Köln,1-1,2-2
2016-17,Deutsche Bundesliga,2017-04-08,15:30,Matchday 28,1. FC Köln,Bor. Mönchengladbach,1-1,2-3
2016-17,Deutsche Bundesliga,2017-04-15,15:30,Matchday 29,1899 Hoffenheim,Bor. Mönchengladbach,2-2,5-3
2016-17,Deutsche Bundesliga,2017-04-22,15:30,Matchday 30,FC Ingolstadt 04,Werder Bremen,1-1,2-4
2016-17,Deutsche Bundesliga,2017-04-22,18:30,Matchday 30,Bor. Mönchengladbach,Borussia Dortmund,1-1,2-3
2016-17,Deutsche Bundesliga,2017-05-05,20:30,Matchday 32,1. FC Köln,Werder Bremen,3-2,4-3
2016-17,Deutsche Bundesliga,2017-05-13,15:30,Matchday 33,RB Leipzig,Bayern München,2-1,4-5
2016-17,Deutsche Bundesliga,2017-05-20,15:30,Matchday 34,Borussia Dortmund,Werder Bremen,2-1,4-3
2017-18,Deutsche Bundesliga,2017-10-01,13:30,Matchday 7,SC Freiburg,1899 Hoffenheim,2-1,3-2
2017-18,Deutsche Bundesliga,2017-10-14,15:30,Matchday 8,1. FSV Mainz 05,Hamburger SV,1-1,3-2
2017-18,Deutsche Bundesliga,2017-10-14,18:30,Matchday 8,Borussia Dortmund,RB Leipzig,1-2,2-3
2017-18,Deutsche Bundesliga,2017-10-15,15:30,Matchday 8,Bayer Leverkusen,VfL Wolfsburg,1-1,2-2
2017-18,Deutsche Bundesliga,2017-10-28,15:30,Matchday 10,Hannover 96,Borussia Dortmund,2-1,4-2
2017-18,Deutsche Bundesliga,2017-11-05,18:00,Matchday 11,VfL Wolfsburg,Hertha BSC,2-1,3-3
2017-18,Deutsche Bundesliga,2017-11-18,15:30,Matchday 12,Bayer Leverkusen,RB Leipzig,1-1,2-2
2017-18,Deutsche Bundesliga,2017-11-18,18:30,Matchday 12,Hertha BSC,Bor. Mönchengladbach,1-3,2-4
2017-18,Deutsche Bundesliga,2017-12-16,15:30,Matchday 17,FC Augsburg,SC Freiburg,1-1,3-3
2017-18,Deutsche Bundesliga,2017-12-17,15:30,Matchday 17,Hannover 96,Bayer Leverkusen,3-2,4-4
2017-18,Deutsche Bundesliga,2018-01-20,15:30,Matchday 19,1. FSV Mainz 05,VfB Stuttgart,1-1,3-2
2017-18,Deutsche Bundesliga,2018-01-21,15:30,Matchday 19,Bayern München,Werder Bremen,1-1,4-2
2017-18,Deutsche Bundesliga,2018-01-27,15:30,Matchday 20,Borussia Dortmund,SC Freiburg,1-1,2-2
2017-18,Deutsche Bundesliga,2018-02-10,15:30,Matchday 22,1899 Hoffenheim,1. FSV Mainz 05,1-1,4-2
2017-18,Deutsche Bundesliga,2018-03-04,15:30,Matchday 25,1. FC Köln,VfB Stuttgart,1-2,2-3
2017-18,Deutsche Bundesliga,2018-03-17,15:30,Matchday 27,Bor. Mönchengladbach,1899 Hoffenheim,1-1,3-3
2017-18,Deutsche Bundesliga,2018-04-07,18:30,Matchday 29,Hamburger SV,FC Schalke 04,1-1,3-2
2017-18,Deutsche Bundesliga,2018-05-12,15:30,Matchday 34,Hertha BSC,RB Leipzig,1-3,2-6
2018-19,Deutsche Bundesliga,2018-09-15,15:30,Matchday 3,RB Leipzig,Hannover 96,2-1,3-2
2018-19,Deutsche Bundesliga,2018-09-16,18:00,Matchday 3,SC Freiburg,VfB Stuttgart,1-1,3-3
2018-19,Deutsche Bundesliga,2018-09-22,15:30,Matchday 4,Hertha BSC,Bor. Mönchengladbach,2-1,4-2
2018-19,Deutsche Bundesliga,2018-09-22,15:30,Matchday 4,FC Augsburg,Werder Bremen,1-2,2-3
2018-19,Deutsche Bundesliga,2018-09-29,15:30,Matchday 6,VfL Wolfsburg,Bor. Mönchengladbach,1-1,2-2
2018-19,Deutsche Bundesliga,2018-10-20,15:30,Matchday 8,Bayer Leverkusen,Hannover 96,1-1,2-2
2018-19,Deutsche Bundesliga,2018-10-27,15:30,Matchday 9,Borussia Dortmund,Hertha BSC,1-1,2-2
2018-19,Deutsche Bundesliga,2018-11-24,15:30,Matchday 12,Bayern München,Fortuna Düsseldorf,2-1,3-3
2018-19,Deutsche Bundesliga,2018-11-24,15:30,Matchday 12,Hertha BSC,1899 Hoffenheim,1-2,3-3
2018-19,Deutsche Bundesliga,2018-11-24,18:30,Matchday 12,FC Schalke 04,1. FC Nürnberg,2-1,5-2
2018-19,Deutsche Bundesliga,2019-01-26,15:30,Matchday 19,SC Freiburg,1899 Hoffenheim,1-1,2-4
2018-19,Deutsche Bundesliga,2019-01-26,18:30,Matchday 19,Werder Bremen,Eintracht Frankfurt,1-1,2-2
2018-19,Deutsche Bundesliga,2019-02-09,15:30,Matchday 21,SC Freiburg,VfL Wolfsburg,1-1,3-3
2018-19,Deutsche Bundesliga,2019-02-24,18:00,Matchday 23,Borussia Dortmund,Bayer Leverkusen,2-1,3-2
2018-19,Deutsche Bundesliga,2019-03-02,15:30,Matchday 24,Eintracht Frankfurt,1899 Hoffenheim,1-1,3-2
2018-19,Deutsche Bundesliga,2019-03-08,20:30,Matchday 25,Werder Bremen,FC Schalke 04,1-1,4-2
2018-19,Deutsche Bundesliga,2019-03-16,15:30,Matchday 26,VfL Wolfsburg,Fortuna Düsseldorf,1-1,5-2
2018-19,Deutsche Bundesliga,2019-04-27,15:30,Matchday 31,Borussia Dortmund,FC Schalke 04,1-2,2-4
2018-19,Deutsche Bundesliga,2019-05-03,20:30,Matchday 32,1. FSV Mainz 05,RB Leipzig,1-2,3-3
2019-20,Deutsche Bundesliga,2019-09-01,15:30,Matchday 3,Werder Bremen,FC Augsburg,2-1,3-2
2019-20,Deutsche Bundesliga,2019-09-22,18:00,Matchday 5,Eintracht Frankfurt,Borussia Dortmund,1-1,2-2
2019-20,Deutsche Bundesliga,2019-10-19,15:30,Matchday 8,FC Augsburg,Bayern München,1-1,2-2
2019-20,Deutsche Bundesliga,2019-10-26,18:30,Matchday 9,Bayer Leverkusen,Werder Bremen,1-1,2-2
2019-20,Deutsche Bundesliga,2019-11-02,15:30,Matchday 10,Werder Bremen,SC Freiburg,1-1,2-2
2019-20,Deutsche Bundesliga,2019-11-03,18:00,Matchday 10,FC Augsburg,FC Schalke 04,1-1,2-3
2019-20,Deutsche Bundesliga,2019-11-09,15:30,Matchday 11,Hertha BSC,RB Leipzig,1-2,2-4
2019-20,Deutsche Bundesliga,2019-12-01,15:30,Matchday 13,Bor. Mönchengladbach,SC Freiburg,1-1,4-2
2019-20,Deutsche Bundesliga,2019-12-01,18:00,Matchday 13,VfL Wolfsburg,Werder Bremen,1-2,2-3
2019-20,Deutsche Bundesliga,2019-12-13,20:30,Matchday 15,1899 Hoffenheim,FC Augsburg,1-1,2-4
2019-20,Deutsche Bundesliga,2020-02-02,18:00,Matchday 20,SC Paderborn 07,VfL Wolfsburg,1-2,2-4
2019-20,Deutsche Bundesliga,2020-02-08,18:30,Matchday 21,Bayer Leverkusen,Borussia Dortmund,2-2,4-3
2019-20,Deutsche Bundesliga,2020-02-15,15:30,Matchday 22,1. FC Union Berlin,Bayer Leverkusen,1-1,2-3
2019-20,Deutsche Bundesliga,2020-02-15,15:30,Matchday 22,1899 Hoffenheim,VfL Wolfsburg,1-1,2-3
2019-20,Deutsche Bundesliga,2020-02-21,20:30,Matchday 23,Bayern München,SC Paderborn 07,1-1,3-2
2019-20,Deutsche Bundesliga,2020-05-26,20:30,Matchday 28,Eintracht Frankfurt,SC Freiburg,1-1,3-3
2019-20,Deutsche Bundesliga,2020-05-27,18:30,Matchday 28,RB Leipzig,Hertha BSC,1-1,2-2
2019-20,Deutsche Bundesliga,2020-06-01,20:30,Matchday 29,1. FC Köln,RB Leipzig,1-2,2-4
2019-20,Deutsche Bundesliga,2020-06-06,15:30,Matchday 30,Bayer Leverkusen,Bayern München,1-3,2-4
2019-20,Deutsche Bundesliga,2020-06-06,15:30,Matchday 30,Fortuna Düsseldorf,1899 Hoffenheim,1-1,2-2
2020-21,Deutsche Bundesliga,2020-09-19,15:30,Matchday 1,1. FC Köln,TSG 1899 Hoffenheim,1-2,2-3
2020-21,Deutsche Bundesliga,2020-11-01,15:30,Matchday 6,SC Freiburg,Bayer 04 Leverkusen,1-2,2-4
2020-21,Deutsche Bundesliga,2020-11-07,18:30,Matchday 7,Borussia Dortmund,FC Bayern München,1-1,2-3
2020-21,Deutsche Bundesliga,2020-11-08,18:00,Matchday 7,Bayer 04 Leverkusen,Borussia Mönchengladbach,2-2,4-3
2020-21,Deutsche Bundesliga,2020-11-21,15:30,Matchday 8,TSG 1899 Hoffenheim,VfB Stuttgart,1-2,3-3
2020-21,Deutsche Bundesliga,2020-11-27,20:30,Matchday 9,VfL Wolfsburg,SV Werder Bremen,3-2,5-3
2020-21,Deutsche Bundesliga,2020-11-28,15:30,Matchday 9,1. FC Union Berlin,Eintracht Frankfurt,2-2,3-3
2020-21,Deutsche Bundesliga,2020-12-05,15:30,Matchday 10,SC Freiburg,Borussia Mönchengladbach,1-1,2-2
2020-21,Deutsche Bundesliga,2020-12-05,18:30,Matchday 10,FC Bayern München,RB Leipzig,2-2,3-3
2020-21,Deutsche Bundesliga,2021-01-09,15:30,Matchday 15,1. FC Union Berlin,VfL Wolfsburg,1-1,2-2
2020-21,Deutsche Bundesliga,2021-01-20,20:30,Matchday 17,SC Freiburg,Eintracht Frankfurt,1-1,2-2
2020-21,Deutsche Bundesliga,2021-02-13,15:30,Matchday 21,Borussia Dortmund,TSG 1899 Hoffenheim,1-1,2-2
2020-21,Deutsche Bundesliga,2021-03-20,15:30,Matchday 26,1. FC Köln,Borussia Dortmund,1-1,2-2
2020-21,Deutsche Bundesliga,2021-04-10,15:30,Matchday 28,Eintracht Frankfurt,VfL Wolfsburg,2-1,4-3
2020-21,Deutsche Bundesliga,2021-04-11,18:00,Matchday 28,1. FC Köln,1. FSV Mainz 05,1-1,2-3
2020-21,Deutsche Bundesliga,2021-05-15,15:30,Matchday 33,FC Schalke 04,Eintracht Frankfurt,1-1,4-3
2020-21,Deutsche Bundesliga,2021-05-15,15:30,Matchday 33,SC Freiburg,FC Bayern München,1-1,2-2
2021-22,Deutsche Bundesliga,2021-08-14,18:30,Matchday 1,Borussia Dortmund,Eintracht Frankfurt,3-1,5-2
2021-22,Deutsche Bundesliga,2021-09-11,15:30,Matchday 4,Bayer 04 Leverkusen,Borussia Dortmund,2-1,3-4
2021-22,Deutsche Bundesliga,2021-10-30,15:30,Matchday 10,1. FC Union Berlin,FC Bayern München,1-3,2-5
2021-22,Deutsche Bundesliga,2021-11-27,15:30,Matchday 13,SpVgg Greuther Fürth 1903,TSG 1899 Hoffenheim,1-2,3-6
2021-22,Deutsche Bundesliga,2021-12-04,15:30,Matchday 14,TSG 1899 Hoffenheim,Eintracht Frankfurt,2-1,3-2
2021-22,Deutsche Bundesliga,2021-12-04,18:30,Matchday 14,Borussia Dortmund,FC Bayern München,1-2,2-3
2021-22,Deutsche Bundesliga,2021-12-14,20:30,Matchday 16,VfL Wolfsburg,1. FC Köln,1-1,2-3
2021-22,Deutsche Bundesliga,2021-12-15,18:30,Matchday 16,Borussia Mönchengladbach,Eintracht Frankfurt,1-1,2-3
2021-22,Deutsche Bundesliga,2022-01-08,15:30,Matchday 18,Bayer 04 Leverkusen,1. FC Union Berlin,1-1,2-2
2021-22,Deutsche Bundesliga,2022-01-16,17:30,Matchday 19,Arminia Bielefeld,SpVgg Greuther Fürth 1903,1-1,2-2
2021-22,Deutsche Bundesliga,2022-01-22,15:30,Matchday 20,TSG 1899 Hoffenheim,Borussia Dortmund,1-1,2-3
2021-22,Deutsche Bundesliga,2022-02-05,15:30,Matchday 21,VfB Stuttgart,Eintracht Frankfurt,1-1,2-3
2021-22,Deutsche Bundesliga,2022-02-05,18:30,Matchday 21,FC Bayern München,RB Leipzig,2-1,3-2
2021-22,Deutsche Bundesliga,2022-02-06,15:30,Matchday 21,Borussia Dortmund,Bayer 04 Leverkusen,1-3,2-5
2021-22,Deutsche Bundesliga,2022-04-23,15:30,Matchday 31,Eintracht Frankfurt,TSG 1899 Hoffenheim,1-1,2-2
2021-22,Deutsche Bundesliga,2022-04-30,15:30,Matchday 32,Borussia Dortmund,VfL Bochum 1848,2-2,3-4
2021-22,Deutsche Bundesliga,2022-04-30,18:30,Matchday 32,TSG 1899 Hoffenheim,SC Freiburg,1-1,3-4
2022-23,Deutsche Bundesliga,2022-08-13,15:30,Matchday 2,SV Werder Bremen,VfB Stuttgart,1-1,2-2
2022-23,Deutsche Bundesliga,2022-08-13,15:30,Matchday 2,RB Leipzig,1. FC Köln,1-1,2-2
2022-23,Deutsche Bundesliga,2022-08-28,17:30,Matchday 4,SV Werder Bremen,Eintracht Frankfurt,2-3,3-4
