season,league,date,time,round,home,away,ht_score,ft_score
2013-14,Italian Serie A,2013-09-01,20:45,Matchday 2,Bologna FC,Sampdoria,1-1,2-2
2013-14,Italian Serie A,2013-09-25,20:45,Matchday 5,Bologna FC,AC Milan,1-1,3-3
2013-14,Italian Serie A,2013-09-25,20:45,Matchday 5,Torino FC,Hellas Verona,1-1,2-2
2013-14,Italian Serie A,2013-10-06,20:45,Matchday 7,Juventus,AC Milan,1-1,3-2
2013-14,Italian Serie A,2013-10-20,20:45,Matchday 8,Torino FC,Inter,1-1,3-3
2013-14,Italian Serie A,2013-10-26,20:45,Matchday 9,Inter,Hellas Verona,3-1,4-2
2013-14,Italian Serie A,2013-10-30,20:45,Matchday 10,AS Livorno,Torino FC,2-2,3-3
2013-14,Italian Serie A,2013-12-02,19:00,Matchday 14,ACF Fiorentina,Hellas Verona,3-2,4-3
2013-14,Italian Serie A,2013-12-02,21:00,Matchday 14,Lazio Roma,SSC Napoli,1-1,2-4
2013-14,Italian Serie A,2013-12-07,18:00,Matchday 15,AS Livorno,AC Milan,1-1,2-2
2013-14,Italian Serie A,2013-12-07,20:45,Matchday 15,SSC Napoli,Udinese Calcio,2-1,3-3
2013-14,Italian Serie A,2013-12-08,20:45,Matchday 15,Inter,Parma FC,1-2,3-3
2013-14,Italian Serie A,2013-12-16,20:45,Matchday 16,AC Milan,AS Roma,1-1,2-2
2013-14,Italian Serie A,2014-01-12,20:45,Matchday 19,Sassuolo Calcio,AC Milan,3-2,4-3
2013-14,Italian Serie A,2014-01-18,20:45,Matchday 20,Juventus,Sampdoria,3-1,4-2
2013-14,Italian Serie A,2014-01-26,20:45,Matchday 21,ACF Fiorentina,Genoa CFC,2-2,3-3
2013-14,Italian Serie A,2014-02-16,15:00,Matchday 24,Genoa CFC,Udinese Calcio,1-2,3-3
2013-14,Italian Serie A,2014-02-24,19:00,Matchday 25,Parma FC,ACF Fiorentina,1-1,2-2
2013-14,Italian Serie A,2014-03-30,15:00,Matchday 31,Lazio Roma,Parma FC,1-1,3-2
2013-14,Italian Serie A,2014-04-02,18:30,Matchday 22,AS Roma,Parma FC,2-1,4-2
2013-14,Italian Serie A,2014-04-05,20:45,Matchday 32,Inter,Bologna FC,1-1,2-2
2013-14,Italian Serie A,2014-04-13,15:00,Matchday 33,Hellas Verona,ACF Fiorentina,1-2,3-5
2013-14,Italian Serie A,2014-04-13,15:00,Matchday 33,SSC Napoli,Lazio Roma,1-1,4-2
2013-14,Italian Serie A,2014-05-05,19:00,Matchday 36,Lazio Roma,Hellas Verona,1-1,3-3
2013-14,Italian Serie A,2014-05-11,15:00,Matchday 37,Sassuolo Calcio,Genoa CFC,1-1,4-2
2013-14,Italian Serie A,2014-05-11,15:00,Matchday 37,Sampdoria,SSC Napoli,1-3,2-5
2013-14,Italian Serie A,2014-05-17,20:45,Matchday 38,Udinese Calcio,Sampdoria,2-1,3-3
2014-15,Italian Serie A,2014-09-14,20:45,Matchday 2,Parma FC,AC Milan,1-3,4-5
2014-15,Italian Serie A,2014-10-26,18:00,Matchday 8,SSC Napoli,Hellas Verona,1-1,6-2
2014-15,Italian Serie A,2014-11-09,20:45,Matchday 11,Inter,Hellas Verona,1-1,2-2
2014-15,Italian Serie A,2014-11-23,15:00,Matchday 12,SSC Napoli,Cagliari Calcio,2-1,3-3
2014-15,Italian Serie A,2014-11-30,20:45,Matchday 13,AS Roma,Inter,1-1,4-2
2014-15,Italian Serie A,2015-01-18,15:00,Matchday 19,AC Cesena,Torino FC,1-2,2-3
2014-15,Italian Serie A,2015-01-18,15:00,Matchday 19,Genoa CFC,Sassuolo Calcio,1-1,3-3
2014-15,Italian Serie A,2015-02-08,12:30,Matchday 22,ACF Fiorentina,Atalanta,1-1,3-2
2014-15,Italian Serie A,2015-02-15,15:00,Matchday 23,Genoa CFC,Hellas Verona,3-1,5-2
2014-15,Italian Serie A,2015-03-07,20:45,Matchday 26,AC Milan,Hellas Verona,1-1,2-2
2014-15,Italian Serie A,2015-03-08,15:00,Matchday 26,Udinese Calcio,Torino FC,2-1,3-2
2014-15,Italian Serie A,2015-04-26,12:30,Matchday 32,Atalanta,Empoli FC,1-1,2-2
2014-15,Italian Serie A,2015-04-26,15:00,Matchday 32,Hellas Verona,Sassuolo Calcio,1-1,3-2
2014-15,Italian Serie A,2015-04-26,20:45,Matchday 32,SSC Napoli,Sampdoria,2-1,4-2
2014-15,Italian Serie A,2015-04-29,20:45,Matchday 33,Juventus,ACF Fiorentina,2-1,3-2
2014-15,Italian Serie A,2015-05-10,15:00,Matchday 35,US Palermo,Atalanta,1-2,2-3
2014-15,Italian Serie A,2015-05-10,18:00,Matchday 35,Empoli FC,ACF Fiorentina,1-1,2-3
2014-15,Italian Serie A,2015-05-17,12:30,Matchday 36,Sassuolo Calcio,AC Milan,2-1,3-2
2014-15,Italian Serie A,2015-05-24,15:00,Matchday 37,US Palermo,ACF Fiorentina,1-2,2-3
2014-15,Italian Serie A,2015-05-31,18:00,Matchday 38,Cagliari Calcio,Udinese Calcio,2-1,4-3
2015-16,Italian Serie A,2015-09-13,15:00,Matchday 3,US Palermo,Carpi FC,1-1,2-2
2015-16,Italian Serie A,2015-09-19,20:45,Matchday 4,AC Milan,US Palermo,2-1,3-2
2015-16,Italian Serie A,2015-10-18,15:00,Matchday 8,Genoa CFC,Chievo Verona,2-1,3-2
2015-16,Italian Serie A,2015-10-28,20:45,Matchday 10,Torino FC,Genoa CFC,2-1,3-3
2015-16,Italian Serie A,2015-11-29,15:00,Matchday 14,Chievo Verona,Udinese Calcio,1-1,2-3
2015-16,Italian Serie A,2015-12-20,12:30,Matchday 17,Carpi FC,Juventus,1-2,2-3
2015-16,Italian Serie A,2016-01-06,15:00,Matchday 18,Chievo Verona,AS Roma,1-2,3-3
2015-16,Italian Serie A,2016-01-16,18:00,Matchday 20,Torino FC,Frosinone Calcio,3-1,4-2
2015-16,Italian Serie A,2016-01-23,20:45,Matchday 21,Empoli FC,AC Milan,1-1,2-2
2015-16,Italian Serie A,2016-01-24,15:00,Matchday 21,Sampdoria,SSC Napoli,1-2,2-4
2015-16,Italian Serie A,2016-02-07,12:30,Matchday 24,Hellas Verona,Inter,2-1,3-3
2015-16,Italian Serie A,2016-02-07,15:00,Matchday 24,Sassuolo Calcio,US Palermo,1-1,2-2
2015-16,Italian Serie A,2016-02-21,15:00,Matchday 26,Sassuolo Calcio,Empoli FC,1-1,3-2
2015-16,Italian Serie A,2016-04-17,12:30,Matchday 33,Atalanta,AS Roma,2-2,3-3
2015-16,Italian Serie A,2016-04-20,20:45,Matchday 34,US Palermo,Atalanta,1-1,2-2
2015-16,Italian Serie A,2016-05-02,19:00,Matchday 36,Genoa CFC,AS Roma,1-1,2-3
2015-16,Italian Serie A,2016-05-15,20:45,Matchday 38,Lazio Roma,ACF Fiorentina,1-3,2-4
2016-17,Italian Serie A,2016-10-02,18:00,Matchday 7,AC Milan,Sassuolo Calcio,1-1,4-3
2016-17,Italian Serie A,2016-10-23,15:00,Matchday 9,Cagliari Calcio,ACF Fiorentina,1-4,3-5
2016-17,Italian Serie A,2016-11-28,21:00,Matchday 14,Inter,ACF Fiorentina,3-1,4-2
2016-17,Italian Serie A,2016-12-18,20:45,Matchday 17,Genoa CFC,US Palermo,1-1,3-4
2016-17,Italian Serie A,2016-12-22,20:45,Matchday 18,Cagliari Calcio,Sassuolo Calcio,1-2,4-3
2016-17,Italian Serie A,2017-01-29,15:00,Matchday 22,Sampdoria,AS Roma,1-1,3-2
2016-17,Italian Serie A,2017-03-18,18:00,Matchday 29,Torino FC,Inter,1-1,2-2
2016-17,Italian Serie A,2017-04-09,15:00,Matchday 31,Cagliari Calcio,Torino FC,1-2,2-3
2016-17,Italian Serie A,2017-04-15,15:00,Matchday 32,Genoa CFC,Lazio Roma,1-1,2-2
2016-17,Italian Serie A,2017-04-22,18:00,Matchday 33,Atalanta,Bologna FC,2-1,3-2
2016-17,Italian Serie A,2017-04-22,20:45,Matchday 33,ACF Fiorentina,Inter,1-2,5-4
2016-17,Italian Serie A,2017-05-07,15:00,Matchday 35,Lazio Roma,Sampdoria,5-1,7-3
2016-17,Italian Serie A,2017-05-20,18:00,Matchday 37,Chievo Verona,AS Roma,2-2,3-5
2016-17,Italian Serie A,2017-05-21,15:00,Matchday 37,Sassuolo Calcio,Cagliari Calcio,4-1,6-2
2016-17,Italian Serie A,2017-05-28,18:00,Matchday 38,AS Roma,Genoa CFC,1-1,3-2
2016-17,Italian Serie A,2017-05-28,20:45,Matchday 38,Torino FC,Sassuolo Calcio,3-2,5-3
2017-18,Italian Serie A,2017-09-23,18:00,Matchday 6,SPAL 2013 Ferrara,SSC Napoli,1-1,2-3
2017-18,Italian Serie A,2017-10-22,12:30,Matchday 9,Chievo Verona,Hellas Verona,2-1,3-2
2017-18,Italian Serie A,2017-10-22,18:00,Matchday 9,Udinese Calcio,Juventus,1-2,2-6
2017-18,Italian Serie A,2017-10-25,20:45,Matchday 10,Genoa CFC,SSC Napoli,1-2,2-3
2017-18,Italian Serie A,2017-12-17,20:45,Matchday 17,Atalanta,Lazio Roma,2-2,3-3
2017-18,Italian Serie A,2017-12-22,18:00,Matchday 18,Chievo Verona,Bologna FC,1-1,2-3
2017-18,Italian Serie A,2018-02-11,20:45,Matchday 24,AS Roma,Benevento Calcio,1-1,5-2
2017-18,Italian Serie A,2018-02-18,15:00,Matchday 25,Benevento Calcio,FC Crotone,1-1,3-2
2017-18,Italian Serie A,2018-03-03,20:45,Matchday 27,SSC Napoli,AS Roma,1-2,2-4
2017-18,Italian Serie A,2018-03-11,15:00,Matchday 28,Cagliari Calcio,Lazio Roma,1-1,2-2
2017-18,Italian Serie A,2018-03-31,15:00,Matchday 30,Lazio Roma,Benevento Calcio,1-1,6-2
2017-18,Italian Serie A,2018-04-07,15:00,Matchday 31,Benevento Calcio,Juventus,1-2,2-4
2017-18,Italian Serie A,2018-04-15,15:00,Matchday 32,Sassuolo Calcio,Benevento Calcio,1-1,2-2
2017-18,Italian Serie A,2018-04-18,20:45,Matchday 33,ACF Fiorentina,Lazio Roma,2-2,3-4
2017-18,Italian Serie A,2018-04-18,20:45,Matchday 33,SSC Napoli,Udinese Calcio,1-1,4-2
2017-18,Italian Serie A,2018-04-29,15:00,Matchday 35,Benevento Calcio,Udinese Calcio,1-1,3-3
2017-18,Italian Serie A,2018-05-13,15:00,Matchday 37,FC Crotone,Lazio Roma,1-1,2-2
2018-19,Italian Serie A,2018-08-18,18:00,Matchday 1,Chievo Verona,Juventus,1-1,2-3
2018-19,Italian Serie A,2018-09-02,20:30,Matchday 3,Sassuolo Calcio,Genoa CFC,4-1,5-3
2018-19,Italian Serie A,2018-10-21,12:30,Matchday 9,Frosinone Calcio,Empoli FC,1-1,3-3
2018-19,Italian Serie A,2018-10-28,12:30,Matchday 10,Sassuolo Calcio,Bologna FC,1-1,2-2
2018-19,Italian Serie A,2018-12-22,15:00,Matchday 17,Empoli FC,Sampdoria,1-1,2-4
