season,league,date,time,round,home,away,ht_score,ft_score
2014-15,French Ligue 2,2014-08-01,20:00,Matchday 1,Tours FC,US Créteil-Lusitanos,2-1,4-2
2014-15,French Ligue 2,2014-08-15,20:00,Matchday 3,Nîmes Olympique,Dijon FCO,1-1,2-2
2014-15,French Ligue 2,2014-08-29,20:00,Matchday 5,Nîmes Olympique,AC Arles-Avignon,1-1,2-2
2014-15,French Ligue 2,2014-09-19,20:00,Matchday 7,Stade Lavallois,Angers SCO,1-1,3-2
2014-15,French Ligue 2,2014-09-19,20:00,Matchday 7,Tours FC,US Orléans,3-2,4-3
2014-15,French Ligue 2,2014-09-20,14:00,Matchday 7,Havre AC,ESTAC Troyes,1-1,3-2
2014-15,French Ligue 2,2014-10-17,20:00,Matchday 11,AJ Auxerre,AS Nancy Lorraine,1-1,2-2
2014-15,French Ligue 2,2014-11-28,20:00,Matchday 16,Nîmes Olympique,Havre AC,1-1,3-3
2014-15,French Ligue 2,2014-12-12,20:00,Matchday 17,Clermont Foot 63,Tours FC,1-1,2-2
2014-15,French Ligue 2,2014-12-19,20:00,Matchday 18,Tours FC,Havre AC,2-1,3-2
2014-15,French Ligue 2,2015-01-16,20:00,Matchday 20,LB Châteauroux,US Créteil-Lusitanos,1-1,2-2
2014-15,French Ligue 2,2015-01-23,20:00,Matchday 21,Dijon FCO,Nîmes Olympique,2-2,4-5
2014-15,French Ligue 2,2015-01-24,14:00,Matchday 21,Clermont Foot 63,LB Châteauroux,1-1,3-3
2014-15,French Ligue 2,2015-03-13,20:00,Matchday 28,Clermont Foot 63,Dijon FCO,1-3,2-5
2014-15,French Ligue 2,2015-03-20,20:00,Matchday 29,Nîmes Olympique,Tours FC,1-1,3-2
2014-15,French Ligue 2,2015-04-17,20:00,Matchday 32,AJ Auxerre,Tours FC,1-2,2-3
2015-16,French Ligue 2,2015-08-07,20:00,Matchday 2,Évian Thonon Gaillard,Clermont Foot 63,1-1,2-2
2015-16,French Ligue 2,2015-08-22,14:00,Matchday 4,Nîmes Olympique,AS Nancy Lorraine,1-1,2-2
2015-16,French Ligue 2,2015-12-01,21:00,Matchday 17,Havre AC,Évian Thonon Gaillard,1-1,3-2
2015-16,French Ligue 2,2015-12-18,20:00,Matchday 19,Stade Lavallois,Nîmes Olympique,1-1,3-2
2015-16,French Ligue 2,2015-12-18,20:00,Matchday 19,US Créteil-Lusitanos,Chamois Niortais,1-1,2-3
2015-16,French Ligue 2,2016-01-08,20:00,Matchday 20,Chamois Niortais,Dijon FCO,1-1,2-2
2015-16,French Ligue 2,2016-01-22,20:00,Matchday 22,AS Nancy Lorraine,Nîmes Olympique,2-2,3-4
2015-16,French Ligue 2,2016-02-05,20:00,Matchday 25,AS Nancy Lorraine,FC Metz,1-1,2-2
2015-16,French Ligue 2,2016-02-26,20:00,Matchday 28,Valenciennes FC,FC Sochaux,1-1,2-2
2015-16,French Ligue 2,2016-03-04,20:00,Matchday 29,Havre AC,Valenciennes FC,2-1,3-2
2015-16,French Ligue 2,2016-04-04,20:30,Matchday 32,Red Star FC,Paris FC,1-2,2-4
2015-16,French Ligue 2,2016-04-22,20:00,Matchday 35,Paris FC,US Créteil-Lusitanos,1-1,2-2
2015-16,French Ligue 2,2016-05-06,20:45,Matchday 37,Red Star FC,Dijon FCO,2-1,3-2
2015-16,French Ligue 2,2016-05-13,20:45,Matchday 38,Tours FC,AS Nancy Lorraine,1-3,2-5
