season,league,date,time,round,home,away,ht_score,ft_score
2018-19,Russia Premier League,2018-09-23,16:30,Matchday 8,Zenit St. Petersburg,Lokomotiv Moskva,1-1,5-3
2018-19,Russia Premier League,2018-11-04,16:30,Matchday 13,FK Krasnodar,FK Rostov,1-1,2-2
2018-19,Russia Premier League,2018-12-03,19:30,Matchday 16,Arsenal Tula,Zenit St. Petersburg,2-1,4-2
2018-19,Russia Premier League,2019-03-02,16:30,Matchday 18,Lokomotiv Moskva,Krylia Sovetov,1-1,2-2
2018-19,Russia Premier League,2019-04-20,21:00,Matchday 24,FK Krasnodar,Zenit St. Petersburg,1-1,2-3
2018-19,Russia Premier League,2019-05-19,11:30,Matchday 29,FK Ural,Lokomotiv Moskva,1-1,2-2
2018-19,Russia Premier League,2019-05-19,14:00,Matchday 29,Enisey Krasnoyarsk,Dinamo Moskva,1-1,2-2
2018-19,Russia Premier League,2019-05-26,14:00,Matchday 30,Dinamo Moskva,Arsenal Tula,2-1,3-3
2019-20,Russia Premier League,2019-07-20,16:30,Matchday 2,Krylia Sovetov,Arsenal Tula,1-2,2-3
2019-20,Russia Premier League,2019-07-20,21:30,Matchday 2,FK Rostov,Spartak Moskva,1-1,2-2
2019-20,Russia Premier League,2019-09-01,14:00,Matchday 8,FK Ural,FK Krasnodar,1-2,2-4
2019-20,Russia Premier League,2019-09-15,19:00,Matchday 9,FK Krasnodar,Krylia Sovetov,1-1,4-2
2019-20,Russia Premier League,2019-11-22,19:30,Matchday 17,FK Tambov,Lokomotiv Moskva,1-2,2-3
2019-20,Russia Premier League,2019-12-08,14:00,Matchday 19,Krylia Sovetov,FK Ural,1-1,2-3
2019-20,Russia Premier League,2020-03-09,14:00,Matchday 21,FK Rostov,CSKA Moskva,1-1,3-2
2019-20,Russia Premier League,2020-03-13,19:30,Matchday 22,Akhmat Grozny,Dinamo Moskva,1-1,2-3
2019-20,Russia Premier League,2020-07-05,20:30,Matchday 26,FK Krasnodar,Zenit St. Petersburg,1-2,2-4
2019-20,Russia Premier League,2020-07-07,20:30,Matchday 27,Arsenal Tula,Krylia Sovetov,1-1,2-4
2020-21,Russia Premier League,2020-08-14,18:00,Matchday 2,Arsenal Tula,FK Ufa,1-1,2-3
2020-21,Russia Premier League,2020-08-30,18:00,Matchday 6,Rubin Kazan,FK Tambov,1-1,2-2
2020-21,Russia Premier League,2020-09-20,14:00,Matchday 8,Arsenal Tula,FK Sochi,2-1,3-2
2020-21,Russia Premier League,2020-11-21,16:30,Matchday 15,Akhmat Grozny,Zenit St. Petersburg,1-1,2-2
2020-21,Russia Premier League,2020-12-13,19:00,Matchday 18,CSKA Moskva,FK Ural,1-1,2-2
2020-21,Russia Premier League,2021-03-17,20:00,Matchday 23,CSKA Moskva,Zenit St. Petersburg,1-1,2-3
2020-21,Russia Premier League,2021-04-24,19:00,Matchday 27,FK Tambov,Lokomotiv Moskva,1-1,2-5
2020-21,Russia Premier League,2021-04-25,14:00,Matchday 27,FK Ufa,FK Sochi,1-2,2-3
