season,league,date,time,round,home,away,ht_score,ft_score
2014-15,Deutsche 3. Liga,2014-08-02,14:00,Matchday 2,Fortuna Köln,1. FSV Mainz 05 II,1-1,2-2
2014-15,Deutsche 3. Liga,2014-08-30,14:00,Matchday 7,SG Sonnenhof Großaspach,VfB Stuttgart II,1-1,3-3
2014-15,Deutsche 3. Liga,2014-08-31,14:00,Matchday 7,Arminia Bielefeld,Stuttgarter Kickers,1-1,4-2
2014-15,Deutsche 3. Liga,2014-09-06,14:00,Matchday 8,Rot-Weiß Erfurt,Holstein Kiel,1-1,3-2
2014-15,Deutsche 3. Liga,2014-09-07,14:00,Matchday 8,Preußen Münster,SV Wehen Wiesbaden,1-1,3-2
2014-15,Deutsche 3. Liga,2014-11-29,14:00,Matchday 19,MSV Duisburg,SV Wehen Wiesbaden,1-1,3-2
2014-15,Deutsche 3. Liga,2015-03-14,14:00,Matchday 29,Arminia Bielefeld,Hansa Rostock,1-1,3-2
2014-15,Deutsche 3. Liga,2015-03-21,14:00,Matchday 30,Energie Cottbus,Chemnitzer FC,1-1,2-2
2014-15,Deutsche 3. Liga,2015-03-21,14:00,Matchday 30,Dynamo Dresden,Hallescher FC,1-2,2-3
2014-15,Deutsche 3. Liga,2015-04-05,14:00,Matchday 31,MSV Duisburg,Hansa Rostock,1-1,2-2
2014-15,Deutsche 3. Liga,2015-04-18,14:00,Matchday 33,MSV Duisburg,Energie Cottbus,1-1,3-2
2014-15,Deutsche 3. Liga,2015-05-02,14:00,Matchday 35,Stuttgarter Kickers,Dynamo Dresden,1-2,3-4
2014-15,Deutsche 3. Liga,2015-05-02,14:00,Matchday 35,SpVgg Unterhaching,Energie Cottbus,1-2,3-3
2014-15,Deutsche 3. Liga,2015-05-08,19:00,Matchday 36,VfB Stuttgart II,Hansa Rostock,2-1,3-2
2014-15,Deutsche 3. Liga,2015-05-16,13:30,Matchday 37,Borussia Dortmund II,Dynamo Dresden,1-2,2-3
2015-16,Deutsche 3. Liga,2015-08-22,14:00,Matchday 4,Chemnitzer FC,Holstein Kiel,2-1,4-2
2015-16,Deutsche 3. Liga,2015-08-25,19:00,Matchday 5,Holstein Kiel,Fortuna Köln,1-1,2-2
2015-16,Deutsche 3. Liga,2015-08-26,20:30,Matchday 5,Dynamo Dresden,Hallescher FC,1-1,3-2
2015-16,Deutsche 3. Liga,2015-09-19,14:00,Matchday 9,SV Wehen Wiesbaden,Stuttgarter Kickers,1-2,3-3
2015-16,Deutsche 3. Liga,2015-09-23,18:00,Matchday 10,VfL Osnabrück,Preußen Münster,1-1,2-2
2015-16,Deutsche 3. Liga,2015-09-26,14:00,Matchday 11,Preußen Münster,Stuttgarter Kickers,1-1,4-2
2015-16,Deutsche 3. Liga,2015-10-17,14:00,Matchday 13,Hallescher FC,Werder Bremen II,3-1,6-2
2015-16,Deutsche 3. Liga,2015-10-31,14:00,Matchday 15,Dynamo Dresden,1. FC Magdeburg,1-1,3-2
2015-16,Deutsche 3. Liga,2015-11-01,14:00,Matchday 15,Werder Bremen II,Chemnitzer FC,2-1,3-2
2015-16,Deutsche 3. Liga,2015-11-07,14:00,Matchday 16,VfR Aalen,Rot-Weiß Erfurt,1-1,2-2
2015-16,Deutsche 3. Liga,2015-11-21,14:00,Matchday 17,Rot-Weiß Erfurt,Hansa Rostock,1-1,3-2
2015-16,Deutsche 3. Liga,2015-11-28,14:00,Matchday 18,SV Wehen Wiesbaden,SG Sonnenhof Großaspach,1-1,2-2
2015-16,Deutsche 3. Liga,2015-12-18,19:00,Matchday 21,Stuttgarter Kickers,VfL Osnabrück,1-1,2-2
2015-16,Deutsche 3. Liga,2016-01-23,14:00,Matchday 22,Rot-Weiß Erfurt,Dynamo Dresden,1-1,3-2
2015-16,Deutsche 3. Liga,2016-01-30,14:00,Matchday 23,Holstein Kiel,Chemnitzer FC,4-1,5-2
2015-16,Deutsche 3. Liga,2016-02-06,14:00,Matchday 24,1. FSV Mainz 05 II,Preußen Münster,1-2,2-3
2015-16,Deutsche 3. Liga,2016-02-07,14:00,Matchday 24,Fortuna Köln,Holstein Kiel,1-2,2-3
2015-16,Deutsche 3. Liga,2016-02-28,14:00,Matchday 27,Erzgebirge Aue,Rot-Weiß Erfurt,1-1,2-2
2015-16,Deutsche 3. Liga,2016-03-12,14:00,Matchday 30,VfL Osnabrück,SG Sonnenhof Großaspach,1-1,2-2
2015-16,Deutsche 3. Liga,2016-03-19,14:00,Matchday 31,1. FSV Mainz 05 II,Werder Bremen II,1-1,2-2
2015-16,Deutsche 3. Liga,2016-04-09,14:05,Matchday 33,Rot-Weiß Erfurt,VfL Osnabrück,1-1,4-2
2016-17,Deutsche 3. Liga,2016-08-07,14:00,Matchday 2,SG Sonnenhof Großaspach,Jahn Regensburg,2-1,3-4
2016-17,Deutsche 3. Liga,2016-09-17,14:00,Matchday 7,Preußen Münster,1. FC Magdeburg,1-2,2-3
2016-17,Deutsche 3. Liga,2016-10-14,19:00,Matchday 11,SG Sonnenhof Großaspach,SC Paderborn 07,1-1,2-3
2016-17,Deutsche 3. Liga,2017-01-28,14:00,Matchday 20,SG Sonnenhof Großaspach,Chemnitzer FC,1-1,2-2
2016-17,Deutsche 3. Liga,2017-03-18,14:00,Matchday 28,MSV Duisburg,Rot-Weiß Erfurt,2-1,3-2
2016-17,Deutsche 3. Liga,2017-03-25,14:00,Matchday 29,Chemnitzer FC,MSV Duisburg,1-1,2-3
2016-17,Deutsche 3. Liga,2017-04-22,14:00,Matchday 34,1. FSV Mainz 05 II,Hallescher FC,2-1,3-2
2016-17,Deutsche 3. Liga,2017-05-13,13:30,Matchday 37,VfR Aalen,1. FC Magdeburg,1-1,2-2
2016-17,Deutsche 3. Liga,2017-05-13,13:30,Matchday 37,Sportfreunde Lotte,1. FSV Mainz 05 II,2-1,3-3
2017-18,Deutsche 3. Liga,2017-07-22,14:00,Matchday 1,Hallescher FC,SC Paderborn 07,1-3,4-4
2017-18,Deutsche 3. Liga,2017-08-06,14:00,Matchday 4,VfL Osnabrück,Hallescher FC,2-1,3-3
2017-18,Deutsche 3. Liga,2017-08-26,14:00,Matchday 6,SpVgg Unterhaching,Chemnitzer FC,3-1,4-2
2017-18,Deutsche 3. Liga,2017-10-29,14:00,Matchday 14,SV Wehen Wiesbaden,Preußen Münster,4-1,6-2
2017-18,Deutsche 3. Liga,2017-11-25,14:00,Matchday 17,Hansa Rostock,Fortuna Köln,2-2,5-3
2017-18,Deutsche 3. Liga,2017-12-03,14:00,Matchday 18,Werder Bremen II,VfL Osnabrück,1-1,2-2
2017-18,Deutsche 3. Liga,2017-12-03,14:00,Matchday 18,SpVgg Unterhaching,FC Carl Zeiss Jena,1-1,3-2
2017-18,Deutsche 3. Liga,2017-12-09,14:00,Matchday 19,SV Meppen,Werder Bremen II,1-1,2-2
2017-18,Deutsche 3. Liga,2017-12-16,13:00,Matchday 20,FC Carl Zeiss Jena,SV Wehen Wiesbaden,1-1,4-3
2017-18,Deutsche 3. Liga,2018-01-27,14:00,Matchday 22,VfR Aalen,Chemnitzer FC,1-1,3-2
2017-18,Deutsche 3. Liga,2018-02-18,14:00,Matchday 25,Sportfreunde Lotte,VfL Osnabrück,1-2,2-3
2017-18,Deutsche 3. Liga,2018-03-16,19:00,Matchday 30,SV Wehen Wiesbaden,Rot-Weiß Erfurt,3-1,4-2
2017-18,Deutsche 3. Liga,2018-03-28,19:00,Matchday 27,Rot-Weiß Erfurt,VfL Osnabrück,2-3,4-4
2017-18,Deutsche 3. Liga,2018-03-28,19:00,Matchday 27,1. FC Magdeburg,FSV Zwickau,1-1,2-2
2017-18,Deutsche 3. Liga,2018-03-31,14:00,Matchday 32,Chemnitzer FC,SG Sonnenhof Großaspach,1-1,2-3
2017-18,Deutsche 3. Liga,2018-04-01,14:00,Matchday 32,Sportfreunde Lotte,Werder Bremen II,1-1,3-2
2017-18,Deutsche 3. Liga,2018-04-29,14:00,Matchday 36,SG Sonnenhof Großaspach,SV Meppen,1-2,2-3
