season,league,date,time,round,home,away,ht_score,ft_score
2019-20,Swiss Challenge League,2019-08-03,19:00,Matchday 3,FC Schaffhausen,FC Wil 1900,2-1,3-3
2019-20,Swiss Challenge League,2019-09-01,16:00,Matchday 6,FC Vaduz,Grasshopper Club Zürich,1-1,2-2
2019-20,Swiss Challenge League,2019-09-29,16:00,Matchday 9,FC Vaduz,FC Aarau,2-1,5-2
2019-20,Swiss Challenge League,2019-10-25,20:00,Matchday 12,Grasshopper Club Zürich,FC Vaduz,1-1,3-3
2019-20,Swiss Challenge League,2019-10-26,17:30,Matchday 12,SC Kriens,FC Schaffhausen,1-1,2-2
2019-20,Swiss Challenge League,2019-11-03,16:00,Matchday 13,FC Vaduz,FC Wil 1900,1-1,4-2
2019-20,Swiss Challenge League,2019-11-29,20:00,Matchday 16,FC Aarau,FC Winterthur,1-1,2-2
2019-20,Swiss Challenge League,2019-12-15,15:00,Matchday 18,FC Aarau,FC Chiasso,2-1,3-3
2019-20,Swiss Challenge League,2020-02-23,15:00,Matchday 23,FC Aarau,SC Kriens,2-1,4-4
2019-20,Swiss Challenge League,2020-06-24,18:15,Matchday 25,SC Kriens,Stade Lausanne-Ouchy,1-1,2-2
2019-20,Swiss Challenge League,2020-07-03,18:15,Matchday 28,Stade Lausanne-Ouchy,FC Winterthur,1-1,2-2
2019-20,Swiss Challenge League,2020-07-03,20:30,Matchday 28,FC Aarau,FC Lausanne-Sport,1-2,5-4
2019-20,Swiss Challenge League,2020-07-21,18:15,Matchday 33,FC Aarau,FC Chiasso,1-1,2-2
2019-20,Swiss Challenge League,2020-07-21,20:30,Matchday 33,Grasshopper Club Zürich,FC Schaffhausen,1-2,5-3
2019-20,Swiss Challenge League,2020-07-24,18:15,Matchday 34,SC Kriens,Grasshopper Club Zürich,2-3,4-4
2019-20,Swiss Challenge League,2020-08-02,16:00,Matchday 36,FC Lausanne-Sport,FC Wil 1900,3-2,5-3
2020-21,Swiss Challenge League,2020-09-18,20:00,Matchday 1,Grasshopper Club Zürich,FC Winterthur,2-1,3-2
2020-21,Swiss Challenge League,2020-09-25,20:00,Matchday 2,FC Winterthur,FC Aarau,3-1,5-2
2020-21,Swiss Challenge League,2020-10-20,19:30,Matchday 5,SC Kriens,Grasshopper Club Zürich,1-1,5-2
2020-21,Swiss Challenge League,2020-11-03,19:30,Matchday 8,FC Aarau,SC Kriens,1-1,2-2
2020-21,Swiss Challenge League,2020-12-04,20:00,Matchday 12,Neuchâtel Xamax FCS,FC Aarau,1-2,2-4
2020-21,Swiss Challenge League,2020-12-18,19:00,Matchday 15,FC Chiasso,SC Kriens,1-1,3-2
2020-21,Swiss Challenge League,2020-12-18,20:00,Matchday 15,FC Winterthur,FC Wil 1900,2-1,3-2
2020-21,Swiss Challenge League,2021-03-19,19:00,Matchday 26,FC Schaffhausen,FC Winterthur,2-2,3-3
2020-21,Swiss Challenge League,2021-04-20,19:00,Matchday 30,FC Chiasso,Grasshopper Club Zürich,1-1,2-2
2020-21,Swiss Challenge League,2021-04-23,20:00,Matchday 31,FC Winterthur,FC Aarau,2-1,3-3
2020-21,Swiss Challenge League,2021-05-01,18:15,Matchday 32,FC Wil 1900,FC Schaffhausen,1-2,2-3
2020-21,Swiss Challenge League,2021-05-11,20:00,Matchday 34,FC Wil 1900,FC Chiasso,1-1,3-2
